Arsenal,Aston Villa,Bournemouth,Brentford,Brighton,Chelsea,Crystal Palace,Everton,Fulham,Ipswich Town,Leicester City,Liverpool,Man City,Man United,Newcastle,Nottingham Forest,Southampton,Tottenham,West Ham,Wolves
2,2,3,1,4,4,5,1,1,2,3,3,5,4,2,5,4,5,3,3
1,1,3,3,1,3,5,1,1,2,3,3,4,3,3,5,4,4,4,3
