Arsenal,Aston Villa,Bournemouth,Brentford,Brighton,Chelsea,Crystal Palace,Everton,Fulham,Ipswich Town,Leicester City,Liverpool,Man City,Man United,Newcastle,Nottingham Forest,Southampton,Tottenham,West Ham,Wolves
1,1,1,5,5,5,3,3,3,5,5,1,2,4,3,5,3,2,3,2
1,1,1,5,5,5,4,4,4,4,5,1,3,3,2,4,4,3,4,3
